hawker_name,latitude,longitude,no_of_food_stalls,status,address,est_completion,description,no_of_mkt_produce_stalls,total_stalls,nearest_mrt_km,nearest_mrt_station,accessibility_score,mrt_walkable,region,size_category,popularity_score
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),1.3161312806032646,103.85023293507001,50,Existing,"Blk 41A, Cambridge Road, Singapore 211041",18/12/1981,HUP Reconfiguration,0,50,0.613,Farrer Park,7.2,False,Central,Large (40-80),9.7
Bedok South Road Blk 16,1.3205008376701182,103.93547363751794,64,Existing,"Blk 16, Bedok South Road, Singapore 460016",12/5/1975,HUP Standard Upgrading,0,64,0.722,Bedok,6.8,False,East,Large (40-80),10.0
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),1.31921667863285,103.86302092286022,88,Existing,"Blk 29, Bendemeer Road, Singapore 330029",17/3/1971,HUP Standard Upgrading,0,88,0.132,Boon Keng,9.4,True,Central,Mega (80+),10.0
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),1.3727720934379934,103.85445795532793,50,Existing,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",24/12/1979,HUP Reconfiguration,0,50,0.631,Ang Mo Kio,7.2,False,Central,Large (40-80),9.9
Tanglin Halt Market,1.3005440753273743,103.79773798037208,28,Existing,"48A, Tanglin Halt Road, Singapore 148813",1964,HUP Standard Upgrading,0,28,0.175,Commonwealth,9.2,True,Central,Medium (20-40),8.6
Berseh Food Centre,1.307344109232522,103.85688878360739,66,Existing,"166, Jalan Besar, Singapore 208877",1975,HUP Standard Upgrading,0,66,0.618,Rochor,7.2,False,Central,Large (40-80),10.0
Bedok North Street 4 Blk 85 (85 Fengshan Centre),1.3320048242420148,103.93876843904202,72,Existing,"Blk 85, Bedok North Street 4, Singapore 460085",30/6/1977,HUP Standard Upgrading,0,72,0.891,Bedok Reservoir,6.0,False,East,Large (40-80),10.0
Kampung Admiralty Hawker Centre,1.4397495181298368,103.80072071145584,43,Existing (new),"Blk 676, Woodlands Drive 71, Singapore 730676",8/5/2017,New Centre,0,43,0.095,Admiralty,9.6,True,North,Large (40-80),9.3
Toa Payoh Lorong 8 Blk 210,1.3402610465757185,103.85439575904685,80,Existing,"Blk 210, Lorong 8 Toa Payoh, Singapore 310210",27/8/1974,HUP Standard Upgrading,0,80,0.845,Braddell,6.2,False,Central,Large (40-80),10.0
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),1.2800048011364626,103.82601329649792,22,Existing,"Blk 112, Jalan Bukit Merah, Singapore 160112",1/1/1969,HUP Standard Upgrading,0,22,0.709,Tiong Bahru,6.8,False,Central,Medium (20-40),6.7
Commonwealth Crescent Market,1.3069001323584224,103.80036727142618,39,Existing,"31, Commonwealth Crescent, Singapore 149644",1965,HUP Rebuilding,0,39,0.595,Commonwealth,7.3,False,Central,Medium (20-40),8.5
Clementi Ave 3 Blk 448,1.3133196935787612,103.76451719252249,51,Existing,"Blk 448, Clementi Ave 3, Singapore 120448",12/1/1980,HUP Standard Upgrading,0,51,0.219,Clementi,9.0,True,West,Large (40-80),9.9
Geylang Serai Market,1.316736349282815,103.89822788513564,63,Existing,"1, Geylang Serai, Singapore 402001",3/7/2009,HUP Rebuilding,0,63,0.595,Paya Lebar,7.3,False,North-East,Large (40-80),10.0
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),1.2868829730421196,103.8081312742836,96,Existing,"Blk 6, Jalan Bukit Merah, Singapore 150006",11/10/1974,HUP Reconfiguration,0,96,0.844,Queenstown,6.2,False,Central,Mega (80+),10.0
Marine Terrace Blk 50A (50A Marine Terrace),1.3057297360038187,103.91573703509026,24,Existing,"Blk 50A, Marine Terrace, Singapore 441050",3/3/1975,HUP Standard Upgrading,0,24,0.278,Marine Terrace,8.7,True,North-East,Medium (20-40),7.3
Tiong Bahru Market,1.2847855982150984,103.83218154655142,83,Existing,"30, Seng Poh Road, Singapore 168898",,HUP Rebuilding,0,83,0.6,Tiong Bahru,7.3,False,Central,Mega (80+),10.0
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),1.3626541076693122,103.85528829790343,40,Existing,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",31/7/1979,HUP Standard Upgrading,0,40,1.04,Ang Mo Kio,5.3,False,Central,Medium (20-40),8.0
